CLAVE_ENTIDAD,ENTIDAD_FEDERATIVA,ID,HOMICIDIOS,ROBO_AUTO,EXTORSION,ROBO_CALLE_TRANSPORTE,ROBO_CASA,FRAUDE,POBLACION,PP_URBANA
1,AGUASCALIENTES,AS,83,17547,5188,4973,7823,3677,1321453,0.808277027
2,BAJACALIFORNIA,BC,2144,17349,4965,4977,11665,4953,3584605,0.922662441
3,BAJACALIFORNIASUR,BS,740,9803,3394,1522,7931,3559,809833,0.860282575
4,CAMPECHE,CC,76,6459,3128,4104,6522,3625,935047,0.745742092
5,COAHUILADEZARAGOZA,CL,273,6204,3534,3083,4415,4645,3029740,0.89992722
6,COLIMA,CM,848,6594,5333,2430,6156,3193,747801,0.887692308
7,CHIAPAS,CS,593,2391,2937,4199,4696,2067,5382083,0.487281068
8,CHIHUAHUA,CH,2221,8261,5282,3603,5306,3628,3782018,0.848209043
9,CIUDADDEMÉXICO,DF,1315,15917,6359,19325,4442,6618,8811266,0.995367755
10,DURANGO,DG,197,6117,4448,2401,3051,3094,1799320,0.68872549
11,GUANAJUATO,GT,2252,9926,5638,6516,6414,2593,5908845,0.699052133
12,GUERRERO,GR,2578,4306,11825,5782,4176,5220,3607210,0.58175915
13,HIDALGO,HG,317,6725,3406,3801,3788,2032,2947206,0.52195122
14,JALISCO,JC,1582,11907,8667,6579,4190,5617,8110943,0.865986395
15,MÉXICO,MC,3046,11915,8978,23061,6018,6983,17363387,0.869983526
16,MICHOACÁNDEOCAMPO,MN,1661,7124,4027,3153,3707,2567,4658159,0.686738681
17,MORELOS,MS,626,9059,8616,10620,5920,4054,1965487,0.83849184
18,NAYARIT,NT,462,6277,8797,2443,5137,3338,1268460,0.6900369
19,NUEVOLEÓN,NL,663,13225,3356,6359,6117,5012,5229492,0.946915968
20,OAXACA,OC,858,4102,3729,5083,3406,2072,4061497,0.473296501
21,PUEBLA,PL,1070,9028,7062,9654,6933,2974,6313789,0.717771241
22,QUERÉTARO,QT,217,10747,6427,3934,4284,5510,2063148,0.704433498
23,QUINTANAROO,QR,450,5398,3215,6142,7888,4171,1664667,0.881509434
24,SANLUISPOTOSÍ,SP,500,7127,7291,5532,3123,2997,2801839,0.638297872
25,SINALOA,SL,1617,6236,5816,4479,5453,2950,3034942,0.728225515
26,SONORA,SR,752,15014,2300,2975,8416,4518,3011810,0.860255447
27,TABASCO,TC,438,5676,3943,10520,6814,3589,2431339,0.573726542
28,TAMAULIPAS,TS,1174,4537,4662,2836,5130,2116,3622605,0.877906977
29,TLAXCALA,TL,125,8592,8343,6953,5385,4897,1313067,0.798973482
30,VERACRUZ,VZ,1555,3541,3113,3858,3539,2815,8163963,0.6106241
31,YUCATÁN,YN,50,3445,3205,2597,5479,4908,2172839,0.839897698
32,ZACATECAS,ZS,691,7342,12459,2469,3311,2689,1600412,0.594630872
